"age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed"
32,"blue-collar","unknown","basic.9y","no","yes","no","cellular","jun","mon",314,1,999,0,"nonexistent",-29,92963,-408,"1.266",50762
31,"management","married","university.degree","no","yes","no","cellular","jun","tue",305,1,999,0,"nonexistent",-29,92963,-408,"1.262",50762
32,"blue-collar","married","basic.9y","no","unknown","unknown","cellular","may","thu",1020,1,999,0,"nonexistent",-18,92893,-462,"1.266",50991
53,"retired","married","basic.9y","unknown","yes","no","cellular","jul","fri",817,2,999,0,"nonexistent",14,93918,-427,"4.963",52281
58,"management","married","university.degree","no","no","no","cellular","aug","tue",412,1,999,0,"nonexistent",-17,94027,-383,"0.904",49916
64,"retired","married","unknown","no","no","no","cellular","aug","fri",252,4,999,0,"nonexistent",-29,92201,-314,"0.849",50762
25,"unemployed","single","university.degree","no","yes","no","cellular","apr","thu",260,2,999,0,"nonexistent",-18,93075,-471,"1.365",50991
34,"blue-collar","single","high.school","no","yes","no","telephone","oct","wed",266,1,999,0,"nonexistent",-1,93798,-404,"4.827",51958
79,"retired","married","basic.4y","no","yes","no","cellular","nov","tue",594,1,3,1,"success",-34,92649,-301,"0.715",50175
72,"retired","married","high.school","no","no","no","cellular","nov","mon",257,1,999,0,"nonexistent",-34,92649,-301,"0.714",50175
33,"admin.","single","university.degree","unknown","no","yes","cellular","apr","fri",526,1,999,0,"nonexistent",-18,93075,-471,"1.405",50991
30,"student","single","university.degree","no","no","no","cellular","jul","tue",332,2,13,2,"failure",-29,92469,-336,"0.908",50762
32,"technician","single","university.degree","no","no","yes","cellular","aug","tue",1092,4,999,0,"nonexistent",14,93444,-361,"4.966",52281
19,"student","single","basic.6y","no","yes","yes","cellular","sep","thu",452,5,13,1,"success",-11,94199,-375,"0.879",49636
56,"retired","married","basic.4y","no","no","no","cellular","aug","tue",933,2,999,0,"nonexistent",14,93444,-361,"4.963",52281
27,"technician","single","university.degree","no","yes","yes","cellular","may","wed",754,1,999,0,"nonexistent",-18,92893,-462,"1.334",50991
46,"technician","married","basic.6y","no","yes","no","cellular","aug","thu",464,4,999,0,"nonexistent",-29,92201,-314,"0.873",50762
42,"admin.","married","university.degree","no","no","no","cellular","jun","thu",160,1,999,0,"nonexistent",-29,92963,-408,"1.26",50762
25,"admin.","married","university.degree","no","yes","no","cellular","mar","fri",294,1,999,0,"nonexistent",-18,92843,-50,"1.531",50991
49,"management","married","university.degree","no","yes","no","cellular","apr","thu",387,1,999,0,"nonexistent",-18,93075,-471,"1.365",50991
66,"admin.","divorced","university.degree","no","yes","no","cellular","aug","wed",222,3,6,2,"success",-17,94027,-383,"0.903",49916
54,"admin.","married","university.degree","no","yes","no","cellular","aug","fri",91,2,3,1,"success",-29,92201,-314,"0.849",50762
29,"admin.","single","university.degree","no","no","no","cellular","apr","fri",678,1,999,0,"nonexistent",-18,93075,-471,"1.405",50991
44,"services","divorced","basic.9y","no","no","no","cellular","jul","tue",805,3,999,0,"nonexistent",14,93918,-427,"4.961",52281
23,"student","single","high.school","no","no","yes","cellular","sep","thu",409,2,3,2,"success",-11,94199,-375,"0.878",49636
40,"blue-collar","married","basic.9y","no","unknown","unknown","telephone","nov","thu",160,1,999,0,"nonexistent",-1,932,-42,"4.245",51958
52,"blue-collar","single","basic.9y","no","no","no","cellular","jun","fri",174,2,3,1,"success",-29,92963,-408,"1.268",50762
